"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","Conference","Games_Played","SOS","SOS_High","SOS_Low","SOS_Rank","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Queens (NC)",7,72,10.29,7,73,10.43,7,73,99,172,0.424,7,8,19,0.421,7,6,35,0.829,3,4,0.429,7,72,73,-0.14,7,43,6.14,7,69,9.86,7,72,43,115,16.43,7,186,26.57,7,105,15,7,50,7.14,7,72,224,0.321,7,125,145,0.862,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,"Atlantic Sun",8,-4.147,1.69,-11.37,76,1.66,2.06,NA,NA,0,10.36,53,"v6","Pure Rating Spread","2026-03-26"
"Quinnipiac",6,57,9.5,6,95,15.83,6,66,107,173,0.382,6,8,14,0.571,6,10,21,0.524,1,5,0.167,6,57,95,-6.33,6,27,4.5,6,64,10.67,6,57,27,84,14,6,153,25.5,6,92,15.33,6,62,10.33,6,57,204,0.279,6,100,115,0.87,2026,2026-03-16,55,89,0.3819,NA,NA,"MAAC",9,-1.524,6.41,-6.81,56,-1.07,-7.32,NA,NA,0,12.66,54,"v6","Pure Rating Spread","2026-03-26"
"Richmond",6,88,14.67,6,48,8,6,80,78,158,0.506,6,5,12,0.417,6,2,11,0.818,6,0,1,6,88,48,6.67,6,45,7.5,6,66,11,6,88,45,133,22.17,6,202,33.67,6,73,12.17,6,61,10.17,6,88,275,0.32,6,123,135,0.911,2026,2026-03-16,66,47,0.5841,4,2,"Atlantic 10",8,-0.819,6.41,-8.43,48,7.46,8.21,NA,NA,0,11.34,55,"v6","Pure Rating Spread","2026-03-26"
"Robert Morris",8,77,9.62,8,93,11.62,8,90,107,197,0.457,8,9,24,0.375,8,14,30,0.533,5,3,0.625,8,77,93,-2,8,46,5.75,8,102,12.75,8,77,46,123,15.38,8,266,33.25,8,147,18.38,8,62,7.75,8,77,265,0.291,8,160,192,0.833,2026,2026-03-16,89,84,0.5145,NA,NA,"NEC",10,-1.256,7.52,-8.34,50,-1.91,-2.2,NA,NA,0,10.62,56,"v6","Pure Rating Spread","2026-03-26"
"Rutgers",8,94,11.75,8,76,9.5,8,99,98,197,0.503,8,3,9,0.333,8,2,13,0.846,6,2,0.75,8,94,76,2.25,8,52,6.5,8,91,11.38,8,94,52,146,18.25,8,241,30.12,8,136,17,8,71,8.88,8,94,342,0.275,8,160,183,0.874,2026,2026-03-16,83,72,0.5355,14,17,"Big Ten",10,1.242,8.46,-3.89,25,-1.82,5.04,NA,NA,0,10.62,57,"v6","Pure Rating Spread","2026-03-26"
"Sacred Heart",6,84,14,6,66,11,6,94,71,165,0.57,6,5,17,0.294,6,2,11,0.818,6,0,1,6,84,66,3,6,49,8.17,6,78,13,6,84,49,133,22.17,6,182,30.33,6,94,15.67,6,36,6,6,84,271,0.31,6,122,137,0.891,2026,2026-03-16,78,66,0.5417,NA,NA,"MAAC",9,-3.11,0.51,-6.81,72,4.06,0.17,NA,NA,0,12.5,58,"v6","Pure Rating Spread","2026-03-26"
"Saint Joseph's",5,41,8.2,5,59,11.8,5,53,64,117,0.453,5,1,15,0.067,5,8,18,0.556,3,2,0.6,5,41,59,-3.6,5,22,4.4,5,46,9.2,5,41,22,63,12.6,5,134,26.8,5,75,15,5,42,8.4,5,41,182,0.225,5,88,101,0.871,2026,2026-03-16,45,57,0.4412,NA,NA,"Atlantic 10",7,2.826,12.01,-0.54,9,-7.79,-1.81,NA,NA,0,10,59,"v6","Pure Rating Spread","2026-03-26"
"Siena",7,91,13,7,78,11.14,7,102,87,189,0.54,7,11,25,0.44,7,10,19,0.474,5,2,0.714,7,91,78,1.86,7,51,7.29,7,78,11.14,7,91,51,142,20.29,7,242,34.57,7,141,20.14,7,66,9.43,7,91,288,0.316,7,146,185,0.789,2026,2026-03-16,76,78,0.4935,NA,NA,"MAAC",9,-2.291,5.19,-7.94,63,3.08,-0.72,NA,NA,0,12.07,60,"v6","Pure Rating Spread","2026-03-26"
"St. Bonaventure",8,78,9.75,8,83,10.38,8,109,81,190,0.574,8,7,26,0.269,8,2,14,0.857,4,4,0.5,8,78,83,-0.62,8,39,4.88,8,83,10.38,8,78,39,117,14.62,8,254,31.75,8,147,18.38,8,76,9.5,8,78,335,0.233,8,157,191,0.822,2026,2026-03-16,80,79,0.5031,NA,NA,"Atlantic 10",9,-2.584,2.46,-6.39,68,-4.82,4.15,NA,NA,0,10.07,61,"v6","Pure Rating Spread","2026-03-26"
"St. John's (NY)",7,70,10,7,86,12.29,7,81,100,181,0.448,7,7,19,0.368,7,3,16,0.812,2,5,0.286,7,70,86,-2.29,7,34,4.86,7,86,12.29,7,70,34,104,14.86,7,205,29.29,7,133,19,7,56,8,7,70,255,0.275,7,133,167,0.796,2026,2026-03-16,82,84,0.494,NA,NA,"BIG EAST",9,-2.464,4,-8.43,65,-3.36,-0.53,NA,NA,0,11.14,62,"v6","Pure Rating Spread","2026-03-26"
"Stony Brook",6,61,10.17,6,67,11.17,6,68,79,147,0.463,6,3,16,0.188,6,1,12,0.917,3,3,0.5,6,61,67,-1,6,29,4.83,6,68,11.33,6,61,29,90,15,6,160,26.67,6,87,14.5,6,34,5.67,6,61,247,0.247,6,115,133,0.865,2026,2026-03-16,68,65,0.5113,NA,NA,"America East",8,-1.526,5.54,-10.59,57,-3.25,0.57,NA,NA,0,10.67,63,"v6","Pure Rating Spread","2026-03-26"
"Syracuse",8,101,12.62,8,68,8.5,8,108,88,196,0.551,8,12,26,0.462,8,6,24,0.75,6,2,0.75,8,101,68,4.12,8,59,7.38,8,98,12.25,8,101,59,160,20,8,244,30.5,8,105,13.12,8,58,7.25,8,101,325,0.311,8,147,171,0.86,2026,2026-03-16,95,68,0.5828,7,8,"ACC",10,1.589,6.7,-7.94,20,7.31,4.59,NA,NA,0,10.56,64,"v6","Pure Rating Spread","2026-03-26"
"Towson",6,74,12.33,6,69,11.5,6,92,75,167,0.551,6,7,18,0.389,6,6,18,0.667,3,3,0.5,6,74,69,0.83,6,38,6.33,6,74,12.33,6,74,38,112,18.67,6,220,36.67,6,109,18.17,6,44,7.33,6,74,248,0.298,6,105,134,0.784,2026,2026-03-16,74,69,0.5175,NA,20,"CAA",8,0.385,5.54,-4.3,35,0.92,-1.07,NA,NA,0,11.91,65,"v6","Pure Rating Spread","2026-03-26"
"UAlbany",6,68,11.33,6,76,12.67,6,78,84,162,0.481,6,7,12,0.583,6,3,10,0.7,2,4,0.333,6,68,76,-1.33,6,39,6.5,6,48,8,6,68,39,107,17.83,6,187,31.17,6,88,14.67,6,58,9.67,6,68,224,0.304,6,116,131,0.885,2026,2026-03-16,48,73,0.3967,NA,NA,"America East",8,0.03,6.41,-3.46,39,2.07,-0.96,NA,NA,0,12,66,"v6","Pure Rating Spread","2026-03-26"
"UMBC",5,33,6.6,5,45,9,5,47,47,94,0.5,5,2,7,0.286,5,5,14,0.643,1,4,0.2,5,33,45,-2.4,5,23,4.6,5,36,7.2,5,33,23,56,11.2,5,103,20.6,5,59,11.8,5,30,6,5,33,156,0.212,5,72,79,0.911,2026,2026-03-16,36,45,0.4444,NA,NA,"America East",7,-1.656,0.5,-6.49,59,-7.78,1.84,NA,NA,0,7.8,67,"v6","Pure Rating Spread","2026-03-26"
"UMass Lowell",5,55,11,5,61,12.2,5,91,42,133,0.684,5,3,15,0.2,5,4,6,0.333,2,3,0.4,5,55,61,-1.2,5,28,5.6,5,58,11.6,5,55,28,83,16.6,5,146,29.2,5,82,16.4,5,25,5,5,55,195,0.282,5,80,88,0.909,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,"America East",7,-0.323,6.41,-6.34,45,-2.13,-7.06,NA,NA,0,11.6,68,"v6","Pure Rating Spread","2026-03-26"
"Utah",7,112,16,7,60,8.57,7,116,80,196,0.592,7,7,15,0.467,7,6,26,0.769,5,2,0.714,7,112,60,7.43,7,67,9.57,7,71,10.14,7,112,67,179,25.57,7,279,39.86,7,118,16.86,7,91,13,7,112,319,0.351,7,145,159,0.912,2026,2026-03-16,56,54,0.5091,NA,NA,"Big 12",8,-0.1,12.01,-10.59,40,8.27,8.91,NA,NA,0,12.29,69,"v6","Pure Rating Spread","2026-03-26"
"VMI",6,72,12,6,87,14.5,6,106,76,182,0.582,6,3,13,0.231,6,10,21,0.524,3,3,0.5,6,72,87,-2.5,6,35,5.83,6,68,11.33,6,72,35,107,17.83,6,182,30.33,6,100,16.67,6,40,6.67,6,72,229,0.314,6,105,135,0.778,2026,2026-03-16,68,85,0.4444,NA,NA,"SoCon",8,-3.757,2.57,-11.37,75,0.12,-7.84,NA,NA,0,13.25,70,"v6","Pure Rating Spread","2026-03-26"
"Vermont",5,54,10.8,5,59,11.8,5,80,50,130,0.615,5,7,14,0.5,5,8,15,0.467,2,3,0.4,5,54,59,-1,5,34,6.8,5,43,8.6,5,54,34,88,17.6,5,163,32.6,5,91,18.2,5,47,9.4,5,54,177,0.305,5,95,112,0.848,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,"America East",7,1.293,12.01,-6.34,24,-0.76,-1.89,NA,NA,0,11.3,71,"v6","Pure Rating Spread","2026-03-26"
"Villanova",6,59,9.83,6,59,9.83,6,63,75,138,0.457,6,5,17,0.294,6,3,12,0.75,3,3,0.5,6,59,59,0,6,33,5.5,6,55,9.17,6,59,33,92,15.33,6,176,29.33,6,95,15.83,6,61,10.17,6,59,225,0.262,6,123,143,0.86,2026,2026-03-16,55,59,0.4825,NA,NA,"Big East",8,-0.395,4.21,-8.43,46,-3.01,4.56,NA,NA,0,9.83,72,"v6","Pure Rating Spread","2026-03-26"
"Virginia",6,86,14.33,6,73,12.17,6,96,83,179,0.536,6,8,18,0.444,6,7,22,0.682,3,3,0.5,6,86,73,2.17,6,64,10.67,6,57,9.5,6,86,64,150,25,6,236,39.33,6,97,16.17,6,70,11.67,6,86,262,0.328,6,115,134,0.858,2026,2026-03-16,39,44,0.4699,13,NA,"ACC",9,1.751,11.06,-8.34,17,6.24,1.18,NA,NA,0,13.25,73,"v6","Pure Rating Spread","2026-03-26"
"Wagner",6,57,9.5,6,73,12.17,6,54,95,149,0.362,6,7,17,0.412,6,1,5,0.8,2,4,0.333,6,57,73,-2.67,6,27,4.5,6,80,13.33,6,57,27,84,14,6,150,25,6,91,15.17,6,55,9.17,6,57,210,0.271,6,109,135,0.807,2026,2026-03-16,68,66,0.5075,NA,NA,"NEC",8,-2.686,1.69,-11.37,70,-1.73,0.43,NA,NA,0,10.84,74,"v6","Pure Rating Spread","2026-03-26"
"Yale",5,59,11.8,5,63,12.6,5,63,77,140,0.45,5,4,6,0.667,5,10,14,0.286,3,2,0.6,5,59,63,-0.8,5,35,7,5,58,11.6,5,59,35,94,18.8,5,149,29.8,5,92,18.4,5,44,8.8,5,59,185,0.319,5,91,110,0.827,2026,2026-03-16,51,51,0.5,NA,NA,"Ivy League",7,2.073,5.19,-3.66,14,-0.56,-5.34,NA,NA,0,12.2,75,"v6","Pure Rating Spread","2026-03-26"
