"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","Conference","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Colgate",6,64,10.67,6,84,14,6,78,89,167,0.467,6,12,23,0.522,6,9,20,0.55,1,5,0.167,6,64,84,-3.33,6,29,4.83,6,82,13.67,6,64,29,93,15.5,6,205,34.17,6,129,21.5,6,65,10.83,6,64,233,0.275,6,131,169,0.775,2026,2026-03-16,82,84,0.494,NA,NA,"Patriot League",-1.34,-6.28,-2.36,-3.27,0.2916,12.34,58,"v5","Margin of Victory","2026-03-28"
"Cornell",5,57,11.4,5,54,10.8,5,75,53,128,0.586,5,2,8,0.25,5,2,11,0.818,3,2,0.6,5,57,54,0.6,5,39,7.8,5,58,11.6,5,57,39,96,19.2,5,161,32.2,5,92,18.4,5,33,6.6,5,57,193,0.295,5,97,121,0.802,2026,2026-03-16,58,54,0.5179,3,10,"Ivy League",0.23,0.67,5.02,1.03,0.4098,11.1,30,"v5","Margin of Victory","2026-03-28"
"Dartmouth",6,77,12.83,6,66,11,6,88,73,161,0.547,6,7,17,0.412,6,5,13,0.615,4,2,0.667,6,77,66,1.83,6,44,7.33,6,72,12,6,77,44,121,20.17,6,211,35.17,6,129,21.5,6,76,12.67,6,77,236,0.326,6,119,148,0.804,2026,2026-03-16,70,63,0.5263,NA,NA,"Ivy League",3.29,0.23,2.6,2.32,0.4098,11.91,24,"v5","Margin of Victory","2026-03-28"
"Delaware",6,43,7.17,6,77,12.83,6,52,89,141,0.369,NA,NA,0,0,6,7,16,0.562,1,5,0.167,6,43,77,-5.67,6,21,3.5,6,69,11.5,6,43,21,64,10.67,6,153,25.5,6,91,15.17,6,44,7.33,6,43,211,0.204,6,92,119,0.773,2026,2026-03-16,57,63,0.475,NA,NA,"CAA",-8.84,-3.74,-8.43,-6.7,-0.3808,10,66,"v5","Margin of Victory","2026-03-28"
"Denver",6,66,11,6,38,6.33,6,59,68,127,0.465,6,6,15,0.4,6,2,13,0.846,4,2,0.667,6,66,38,4.67,6,44,7.33,6,80,13.33,6,66,44,110,18.33,6,173,28.83,6,97,16.17,6,44,7.33,6,66,205,0.322,6,132,150,0.88,2026,2026-03-16,76,37,0.6726,17,14,"Summit League",-0.63,10.38,-2.48,6.35,1.1332,8.66,8,"v5","Margin of Victory","2026-03-28"
"Detroit Mercy",6,47,7.83,6,87,14.5,6,73,80,153,0.477,6,8,19,0.421,6,10,24,0.583,1,5,0.167,6,47,87,-6.67,6,24,4,6,85,14.17,6,47,24,71,11.83,6,174,29,6,111,18.5,6,50,8.33,6,47,176,0.267,6,125,146,0.856,2026,2026-03-16,85,87,0.4942,NA,NA,"Horizon League",-7.43,-7.37,-1.74,-9.38,-1.5012,11.16,74,"v5","Margin of Victory","2026-03-28"
"Drexel",7,79,11.29,7,62,8.86,7,88,76,164,0.537,7,7,25,0.28,7,4,11,0.636,4,3,0.571,7,79,62,2.43,7,52,7.43,7,72,10.29,7,79,52,131,18.71,7,207,29.57,7,120,17.14,7,39,5.57,7,79,258,0.306,7,132,154,0.857,2026,2026-03-16,72,61,0.5414,NA,NA,"CAA",-0.01,4.88,1.98,1.8,-0.3808,10.07,28,"v5","Margin of Victory","2026-03-28"
"Duke",6,108,18,6,43,7.17,6,104,68,172,0.605,6,8,14,0.571,6,3,18,0.833,6,0,1,6,108,43,10.83,6,63,10.5,6,57,9.5,6,108,63,171,28.5,6,230,38.33,6,103,17.17,6,59,9.83,6,108,311,0.347,6,132,149,0.886,2026,2026-03-16,48,34,0.5854,5,6,"ACC",14.38,8.55,6.19,13.37,1.5089,12.59,1,"v5","Margin of Victory","2026-03-28"
"Fairfield",7,81,11.57,7,83,11.86,7,92,93,185,0.497,7,2,18,0.111,7,12,20,0.4,3,4,0.429,7,81,83,-0.29,7,45,6.43,7,59,8.43,7,81,45,126,18,7,183,26.14,7,107,15.29,7,61,8.71,7,81,287,0.282,7,131,148,0.885,2026,2026-03-16,59,81,0.4214,NA,NA,"MAAC",0.59,-1.63,-0.5,-1.56,-0.7271,11.71,47,"v5","Margin of Victory","2026-03-28"
"Georgetown",5,56,11.2,5,56,11.2,5,62,70,132,0.47,5,1,9,0.111,5,3,6,0.5,2,3,0.4,5,56,56,0,5,43,8.6,5,58,11.6,5,56,43,99,19.8,5,150,30,5,81,16.2,5,44,8.8,5,56,175,0.32,5,96,111,0.865,2026,2026-03-16,58,56,0.5088,11,13,"Big East",-0.2,-0.2,-2.17,-0.33,-0.0923,11.2,39,"v5","Margin of Victory","2026-03-28"
"Hampton",6,58,9.67,6,106,17.67,6,57,128,185,0.308,6,6,15,0.4,6,11,20,0.45,0,6,0,6,58,106,-8,6,32,5.33,6,102,17,6,58,32,90,15,6,121,20.17,6,106,17.67,6,27,4.5,6,58,225,0.258,6,108,143,0.755,2026,2026-03-16,90,101,0.4712,NA,NA,"CAA",-3.48,-14.25,-12.21,-9.15,-0.3808,13.67,73,"v5","Margin of Victory","2026-03-28"
"Harvard",5,76,15.2,5,41,8.2,5,64,71,135,0.474,5,3,8,0.375,5,3,14,0.786,5,0,1,5,76,41,7,5,45,9,5,60,12,5,76,45,121,24.2,5,169,33.8,5,81,16.2,5,37,7.4,5,76,205,0.371,5,100,116,0.862,2026,2026-03-16,59,41,0.59,6,4,"Ivy League",8.37,6.31,-1.92,7.75,0.4098,11.7,5,"v5","Margin of Victory","2026-03-28"
"High Point",6,54,9,6,84,14,6,84,78,162,0.519,6,6,20,0.3,6,6,13,0.538,1,5,0.167,6,54,84,-5,6,35,5.83,6,59,9.83,6,54,35,89,14.83,6,181,30.17,6,123,20.5,6,30,5,6,54,182,0.297,6,95,125,0.76,2026,2026-03-16,59,84,0.4126,NA,NA,"Conference USA",-4.92,-6.28,0.86,-7.35,-1.3116,11.5,69,"v5","Margin of Victory","2026-03-28"
"Hobart",7,66,9.43,7,75,10.71,7,70,91,161,0.435,7,8,23,0.348,7,3,26,0.885,2,5,0.286,7,66,75,-1.29,7,40,5.71,7,81,11.57,7,66,40,106,15.14,7,190,27.14,7,124,17.71,7,64,9.14,7,66,254,0.26,7,121,147,0.823,2026,2026-03-16,75,68,0.5245,NA,NA,"Liberty League",-4,0.86,-4.34,-2.09,-0.3736,10.07,51,"v5","Margin of Victory","2026-03-28"
"Hofstra",6,48,8,6,50,8.33,6,45,71,116,0.388,6,3,11,0.273,6,5,8,0.375,2,4,0.333,6,48,50,-0.33,6,22,3.67,6,60,10,6,48,22,70,11.67,6,139,23.17,6,76,12.67,6,34,5.67,6,48,197,0.244,6,88,102,0.863,2026,2026-03-16,60,50,0.5455,NA,NA,"CAA",-7.06,6.03,-7.25,-1.1,-0.3808,8.16,45,"v5","Margin of Victory","2026-03-28"
