"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","RPI_Rank","RPI_Value","Conference","Games_Played","SOS","SOS_High","SOS_Low","SOS_Rank","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Hampton",7,65,9.29,7,132,18.86,7,65,157,222,0.293,7,8,19,0.421,7,12,21,0.429,0,7,0,7,65,132,-9.57,7,36,5.14,7,111,15.86,7,65,36,101,14.43,7,146,20.86,7,126,18,7,36,5.14,7,65,252,0.258,7,120,162,0.741,2026,2026-03-21,95,120,0.4419,NA,NA,77,NA,"CAA",8,-3.241,0.96,-7.6,73,-4.47,-17.28,-16.52,-14.25,-0.476,14.07,75,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Harvard",6,88,14.67,6,50,8.33,6,69,91,160,0.431,6,3,8,0.375,6,3,18,0.833,6,0,1,6,88,50,6.33,6,49,8.17,6,76,12.67,6,88,49,137,22.83,6,192,32,6,92,15.33,6,42,7,6,88,234,0.376,6,118,139,0.849,2026,2026-03-21,75,50,0.6,6,4,10,NA,"Ivy League",7,0.851,7.48,-2.42,27,6.61,6.13,1.06,5.53,0.1595,11.5,10,"v3","Defense Heavy (30/50/20)","2026-03-21"
"High Point",7,69,9.86,7,91,13,7,107,81,188,0.569,7,6,21,0.286,7,6,16,0.625,2,5,0.286,7,69,91,-3.14,7,43,6.14,7,72,10.29,7,69,43,112,16,7,218,31.14,7,141,20.14,7,35,5,7,69,218,0.317,7,117,151,0.775,2026,2026-03-21,72,91,0.4417,NA,NA,37,NA,"Conference USA",7,3.599,8.4,-5.72,4,-3.78,-5.18,-1.59,-5.39,-0.5931,11.43,64,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Hobart",7,66,9.43,7,75,10.71,7,70,91,161,0.435,7,8,23,0.348,7,3,26,0.885,2,5,0.286,7,66,75,-1.29,7,40,5.71,7,81,11.57,7,66,40,106,15.14,7,190,27.14,7,124,17.71,7,64,9.14,7,66,254,0.26,7,121,147,0.823,2026,2026-03-21,75,68,0.5245,NA,NA,61,NA,"Liberty League",8,-0.13,2.15,-2.42,41,-4.02,3.75,-3.9,0.21,0.0227,10.07,37,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Hofstra",7,55,7.86,7,62,8.86,7,49,88,137,0.358,7,4,14,0.286,7,8,12,0.333,2,5,0.286,7,55,62,-1,7,26,3.71,7,72,10.29,7,55,26,81,11.57,7,161,23,7,87,12.43,7,42,6,7,55,232,0.237,7,109,124,0.879,2026,2026-03-21,72,62,0.5373,NA,NA,63,NA,"CAA",8,-1.495,4.13,-9.02,58,-5.51,-0.79,-6.47,-4.18,-0.476,8.36,62,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Holy Cross",8,83,10.38,8,83,10.38,8,113,84,197,0.574,8,7,16,0.438,8,5,15,0.667,5,3,0.625,8,83,83,0,8,53,6.62,8,84,10.5,8,83,53,136,17,8,209,26.12,8,141,17.62,8,73,9.12,8,83,301,0.276,8,137,168,0.815,2026,2026-03-21,84,83,0.503,NA,NA,36,NA,"Patriot League",9,-0.554,3.89,-6.7,45,-2.55,1.91,0.02,0.67,0.1578,10.38,33,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Iona",10,77,7.7,10,164,16.4,10,84,191,275,0.305,10,9,33,0.273,10,11,34,0.676,1,9,0.1,10,77,164,-8.7,10,46,4.6,10,155,15.5,10,77,46,123,12.3,10,264,26.4,10,190,19,10,75,7.5,10,77,305,0.252,10,172,217,0.793,2026,2026-03-21,NA,NA,0.514734848484849,NA,NA,59,NA,"MAAC",10,1.716,11.22,-5.07,20,-7,-9.13,-10.18,-9.38,-0.3947,12.05,74,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Jacksonville",8,104,13,8,67,8.38,8,108,92,200,0.54,8,10,26,0.385,8,7,20,0.65,4,4,0.5,8,104,67,4.62,8,63,7.88,8,76,9.5,8,104,63,167,20.88,8,281,35.12,8,121,15.12,8,97,12.12,8,104,327,0.318,8,154,172,0.895,2026,2026-03-21,74,64,0.5362,NA,NA,33,NA,"ASUN",8,2.107,12.91,-5.92,14,5.64,6.71,5.09,5.99,0.0318,10.69,9,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Johns Hopkins",7,88,12.57,7,72,10.29,7,85,100,185,0.459,7,10,20,0.5,7,5,18,0.722,5,2,0.714,7,88,72,2.29,7,56,8,7,77,11,7,88,56,144,20.57,7,210,30,7,92,13.14,7,61,8.71,7,88,306,0.288,7,122,137,0.891,2026,2026-03-21,NA,NA,0.514734848484849,16,12,7,NA,"Big Ten",8,2.805,7.83,-1.11,7,5.19,2.45,-0.68,3.64,0.4636,11.43,17,"v3","Defense Heavy (30/50/20)","2026-03-21"
"LIU",7,92,13.14,7,65,9.29,7,101,77,178,0.567,7,12,25,0.48,7,6,15,0.6,6,1,0.857,7,92,65,3.86,7,49,7,7,73,10.43,7,92,49,141,20.14,7,156,22.29,7,89,12.71,7,53,7.57,7,92,291,0.316,7,127,134,0.948,2026,2026-03-21,54,48,0.5294,NA,NA,28,NA,"NEC",8,-2.493,4.13,-9.02,65,8.26,2.23,2.58,3.89,0.0164,11.21,16,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Lafayette",8,98,12.25,8,74,9.25,8,115,86,201,0.572,8,5,20,0.25,8,7,23,0.696,5,3,0.625,8,98,74,3,8,53,6.62,8,76,9.5,8,98,53,151,18.88,8,265,33.12,8,141,17.62,8,75,9.38,8,98,318,0.308,8,141,168,0.839,2026,2026-03-21,69,57,0.5476,NA,NA,48,NA,"Patriot League",9,-1.494,3.89,-8.51,57,0.23,4.3,4.65,3.49,0.1578,10.75,19,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Lehigh",8,103,12.88,8,93,11.62,8,108,113,221,0.489,8,13,24,0.542,8,10,30,0.667,4,4,0.5,8,103,93,1.25,8,61,7.62,8,102,12.75,8,103,61,164,20.5,8,251,31.38,8,144,18,8,68,8.5,8,103,297,0.347,8,138,164,0.841,2026,2026-03-21,96,90,0.5161,NA,NA,32,NA,"Patriot League",9,0.606,9.1,-9.02,31,6.16,-0.53,-0.22,1.72,0.1578,12.25,26,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Loyola Maryland",8,91,11.38,8,102,12.75,8,114,105,219,0.521,8,7,18,0.389,8,8,16,0.5,4,4,0.5,8,91,102,-1.38,8,58,7.25,8,101,12.62,8,91,58,149,18.62,8,263,32.88,8,116,14.5,8,58,7.25,8,91,317,0.287,8,146,178,0.82,2026,2026-03-21,100,99,0.5025,NA,NA,50,NA,"Patriot League",8,-0.055,3.93,-4.43,38,1.24,-4.95,0.52,-1.76,0.1578,12.07,51,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Manhattan",7,66,9.43,7,91,13,7,83,92,175,0.474,7,3,17,0.176,7,6,20,0.7,2,5,0.286,7,66,91,-3.57,7,27,3.86,7,79,11.29,7,66,27,93,13.29,7,214,30.57,7,122,17.43,7,38,5.43,7,66,238,0.277,7,114,132,0.864,2026,2026-03-21,NA,NA,0.514734848484849,NA,NA,68,NA,"MAAC",8,-1.644,2.03,-9.02,60,-5.58,-4.13,-0.56,-4.68,-0.3947,11.21,63,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Marist",6,66,11,6,63,10.5,6,74,73,147,0.503,6,5,17,0.294,6,1,8,0.875,4,2,0.667,6,66,63,0.5,6,38,6.33,6,69,11.5,6,66,38,104,17.33,6,149,24.83,6,79,13.17,6,44,7.33,6,66,284,0.232,6,98,114,0.86,2026,2026-03-21,60,50,0.5455,NA,NA,52,NA,"MAAC",6,-5.685,-1.58,-8.51,77,-1.48,3.06,-0.49,0.16,-0.3947,10.75,38,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Marquette",7,80,11.43,7,88,12.57,7,96,96,192,0.5,7,4,19,0.211,7,7,20,0.65,3,4,0.429,7,80,88,-1.14,7,41,5.86,7,76,10.86,7,80,41,121,17.29,7,198,28.29,7,94,13.43,7,46,6.57,7,80,276,0.29,7,141,155,0.91,2026,2026-03-21,69,85,0.4481,NA,NA,29,NA,"Big East",8,0.686,11.22,-7.6,29,0.68,-3.35,-1.7,-2.29,-0.1833,12,54,"v3","Defense Heavy (30/50/20)","2026-03-21"
